id,keyword,location,text,target,Cleaned_Tweet,Latitude,Longitude,Sentiment,Sentiment_Score,Topic,Entities
2399,collapsed,"Perth, Western Australia",@xDescry I was wrong to call it trusty actually.. considering it spontaneously collapsed on me that's not very trusty.,1,wrong call trusty actually considering spontaneously collapsed thats trusty,,,NEGATIVE,0.9992469549179077,"[(0, 0.020003533), (1, 0.9199458), (2, 0.020003583), (3, 0.020002518), (4, 0.020044593)]",[]
2571,crash,"Melbourne, Australia","#INCIDENT
Crash in Pascoe Vale South outbound on Tullamarine Fwy (CityLink) near Moreland Rd. Vehicles off in emergency lane. No delays.",1,incidentcrash pascoe vale south outbound tullamarine fwy citylink near moreland rd vehicles emergency lane delays,-37.8142454,144.9631732,NEGATIVE,0.9956026077270508,"[(0, 0.94993275), (1, 0.012524594), (2, 0.012524639), (3, 0.012516052), (4, 0.012501946)]","[('moreland', 'GPE')]"
2579,crash,"  Melbourne, Australia",@DestinyTheGame @Bungie @PlayStation Getting kicked out by that crash is one of the worst experiences I've had playing video games.,0,getting kicked crash one worst experiences ive playing video games,-37.8142454,144.9631732,NEGATIVE,0.9997082352638245,"[(0, 0.018186662), (1, 0.018253991), (2, 0.018324552), (3, 0.018273614), (4, 0.9269612)]","[('one', 'CARDINAL')]"
2767,curfew,"Adelaide, Australia",INFO S. WND: 030/6. CLD: SCT014 BKN032. EXP INST APCH. RWY 05. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. TMP: 10.,0,info wnd cld sct bkn exp inst apch rwy curfew oper z taxiways foxtrot amp foxtrot navbl tmp,-34.9281805,138.5999312,NEGATIVE,0.9972993731498718,"[(0, 0.010527271), (1, 0.010527248), (2, 0.010533552), (3, 0.9578745), (4, 0.0105374735)]","[('info wnd cld sct', 'ORG')]"
2787,curfew,"Adelaide, Australia",INFO R. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. WND: 060/5. EXP INST APCH. RWY 05. DAMP. TMP: 10. QNH: 1028.,0,info r curfew oper z taxiways foxtrot amp foxtrot navbl wnd exp inst apch rwy damp tmp qnh,-34.9281805,138.5999312,NEGATIVE,0.9964377880096436,"[(0, 0.010527564), (1, 0.010527554), (2, 0.010533859), (3, 0.9578733), (4, 0.010537706)]","[('info r curfew oper z', 'ORG')]"
2792,curfew,"Adelaide, Australia",INFO U. CLD: SCT012 BKN025. EXP INST APCH. RWY 05. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. TMP: 10. WND: 030/6.,0,info u cld sct bkn exp inst apch rwy curfew oper z taxiways foxtrot amp foxtrot navbl tmp wnd,-34.9281805,138.5999312,NEGATIVE,0.9975110292434692,"[(0, 0.01000102), (1, 0.010001001), (2, 0.010006669), (3, 0.95998114), (4, 0.0100101475)]","[('info u cld sct', 'ORG')]"
2896,damage,Australia,Thank you @RicharkKirkArch @AusInstArchitect for words of warning re #QueensWharf #Brisbane http://t.co/jMkYWhv7mP via @FinancialReview,0,thank words warning queenswharf brisbane via,-24.7761086,134.755,NEGATIVE,0.5591134428977966,"[(0, 0.028777082), (1, 0.029073369), (2, 0.028580533), (3, 0.88485014), (4, 0.028718898)]",[]
3165,deluge,Australia,WA smiles after July deluge - The West Australian https://t.co/4Yi4nuovbV via @Yahoo7,0,wa smiles july deluge west australian via,-24.7761086,134.755,NEGATIVE,0.9535199403762817,"[(0, 0.02528226), (1, 0.025333231), (2, 0.025007242), (3, 0.0250918), (4, 0.8992855)]","[('july', 'DATE'), ('west australian', 'NORP')]"
3845,detonate,"Sydney, Australia",New music from @ApolloBrown featuring M.O.P.? 'Detonate' taken off his album 'Grandeur' coming soon - http://t.co/m1xYkEcRzr,0,new music featuring mop detonate taken album grandeur coming soon,-33.8698439,151.2082848,POSITIVE,0.9975171089172363,"[(0, 0.018186789), (1, 0.01818686), (2, 0.018186858), (3, 0.9272314), (4, 0.018208101)]",[]
4368,earthquake,"Melbourne, Australia",Nepal earthquake 3 months on: Women fear abuse https://t.co/iCTtZ0Divr via @@loupascale,1,nepal earthquake months women fear abuse via,-37.8142454,144.9631732,NEGATIVE,0.9738682508468628,"[(0, 0.025045056), (1, 0.8998877), (2, 0.025004787), (3, 0.025029818), (4, 0.025032623)]","[('nepal', 'PERSON'), ('months', 'DATE')]"
4534,emergency,"Melbourne, Australia",From @LeanDOTorg: Lean Thinking for Quicker Police Emergency Response Time http://t.co/suZBkyW5TT,0,lean thinking quicker police emergency response time,-37.8142454,144.9631732,POSITIVE,0.9970149993896484,"[(0, 0.025101935), (1, 0.025005164), (2, 0.8998854), (3, 0.025003625), (4, 0.025003893)]","[('lean thinking quicker police emergency', 'ORG')]"
4740,evacuate,"Gold Coast, Qld, Australia",myGC: Broken powerlines evacuate Gold Coast tram suspend services http://t.co/6e7hHfeRz4,1,mygc broken powerlines evacuate gold coast tram suspend services,-28.0023731,153.4145987,NEGATIVE,0.9975267052650452,"[(0, 0.020004148), (1, 0.020004204), (2, 0.02000421), (3, 0.020002948), (4, 0.91998446)]",[]
4785,evacuated,"Queensland, Australia",Passengers evacuated &amp; lanes blocked off as power lines come down over a Gold Coast tram @9NewsGoldCoast http://t.co/zZweEezJuG,1,passengers evacuated amp lanes blocked power lines come gold coast tram,-22.1646782,144.5844903,NEGATIVE,0.9936959147453308,"[(0, 0.016669853), (1, 0.01666989), (2, 0.016693834), (3, 0.016728539), (4, 0.93323785)]",[]
4810,evacuated,"Gold Coast, Australia",Tram travellers evacuated after powerlines come down in Surfers http://t.co/Qsheu3yF0W,1,tram travellers evacuated powerlines come surfers,-28.0023731,153.4145987,NEGATIVE,0.9882424473762512,"[(0, 0.02857632), (1, 0.028576389), (2, 0.02857639), (3, 0.028574906), (4, 0.885696)]",[]
4826,evacuation,Sydney Australia,Our mission to see the end of this movie last night @markoturner @annaciclismo after getting fire alarm evacuation http://t.co/5kFOVovjso,1,mission see end movie last night getting fire alarm evacuation,-33.8698439,151.2082848,NEGATIVE,0.9691883325576782,"[(0, 0.018185215), (1, 0.018198274), (2, 0.92718285), (3, 0.018215293), (4, 0.018218342)]","[('last night', 'TIME')]"
4845,evacuation,"sydney, australia",my school just put the evacuation alarms on accidently with 2 different trial exams happening are you kidding me,0,school put evacuation alarms accidently different trial exams happening kidding,,,NEGATIVE,0.9907197952270508,"[(0, 0.018187426), (1, 0.018187504), (2, 0.018261263), (3, 0.92717767), (4, 0.01818611)]",[]
4877,explode,Australia,It's cold and my head wants to explode.. The joys of working from home - I'm going back to bed / peace out ????,0,cold head wants explode joys working home im going back bed peace,-24.7761086,134.755,POSITIVE,0.8406143188476562,"[(0, 0.01538756), (1, 0.015387633), (2, 0.93825746), (3, 0.0153867155), (4, 0.015580639)]",[]
4924,exploded,Australia,Junko was 13 years old when the atomic bomb exploded over #Hiroshima on August 6 1945. http://t.co/lSpnyCVoLO http://t.co/Nh5pkFBfqm,1,junko years old atomic bomb exploded hiroshima august,-24.7761086,134.755,NEGATIVE,0.9980719089508057,"[(0, 0.02222752), (1, 0.022258408), (2, 0.022227593), (3, 0.91106015), (4, 0.022226272)]","[('junko years old', 'DATE'), ('august', 'DATE')]"
5131,fatal,"New South Wales, Australia",Man charged over fatal crash near Dubbo refused bail http://t.co/HDBMfOVUtZ via @dailyliberal,1,man charged fatal crash near dubbo refused bail via,-31.8759835,147.2869493,NEGATIVE,0.9913602471351624,"[(0, 0.02008713), (1, 0.91978896), (2, 0.020003848), (3, 0.020057317), (4, 0.02006277)]",[]
5353,fire,"Sydney, Australia",I just checked in! ÛÒ at On Fire on @ZomatoAUS #LoveFood http://t.co/9l5kqykrbG,1,checked fire lovefood,-33.8698439,151.2082848,POSITIVE,0.7689799666404724,"[(0, 0.050008107), (1, 0.05013792), (2, 0.79984206), (3, 0.05000575), (4, 0.05000618)]",[]
5567,flood,"Warrandyte, Australia",A [small] flood with bigåÊconsequences https://t.co/CVPdVHxd1R http://t.co/FDMXP4FcMo,1,small flood bigconsequences,-37.7585968,145.22762818038902,POSITIVE,0.9078578352928162,"[(0, 0.050016377), (1, 0.05001662), (2, 0.05001662), (3, 0.7999379), (4, 0.050012484)]",[]
5664,floods,Australia,In #India 119000 people have taken shelter in the 966 relief camps the government has set up after the #floods:   http://t.co/eU8jypIzsd,1,india people taken shelter relief camps government set floods,-24.7761086,134.755,NEGATIVE,0.9891439080238342,"[(0, 0.02000491), (1, 0.020004977), (2, 0.020004977), (3, 0.91991395), (4, 0.02007119)]","[('india', 'GPE')]"
5670,floods,"Sherwood, Brisbane, Australia",@madonnamking RSPCA site multiple 7 story high rise buildings next to low density character residential in an area that floods,0,rspca site multiple story high rise buildings next low density character residential area floods,-27.530861,152.9826097,NEGATIVE,0.9965704679489136,"[(0, 0.013336878), (1, 0.01333693), (2, 0.01334641), (3, 0.013358638), (4, 0.9466212)]",[]
5889,harm," Queensland, Australia",Vanderbilt: First Do No Harm http://t.co/cCdx7CGlQW,0,vanderbilt first harm,-22.1646782,144.5844903,NEGATIVE,0.8735081553459167,"[(0, 0.050010692), (1, 0.05001085), (2, 0.7999627), (3, 0.050007578), (4, 0.050008148)]","[('first', 'ORDINAL')]"
5937,hazard,Australia,#Lifestyle Û÷It makes me sickÛª: Baby clothes deemed a Û÷hazardÛª http://t.co/0XrfVidxA2 http://t.co/oIHwgEZDCk,0,lifestyle makes sick baby clothes deemed hazard,-24.7761086,134.755,NEGATIVE,0.9986193180084229,"[(0, 0.025004687), (1, 0.025004754), (2, 0.89998364), (3, 0.025003335), (4, 0.025003582)]",[]
6243,hijacking,"perth, australia ",#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/gUJNPLJVvt #prebreak #best,0,hot funtenna hijacking computers send data sound waves black hat prebreak best,-31.9558933,115.8605855,NEGATIVE,0.9197959303855896,"[(0, 0.015386495), (1, 0.015386521), (2, 0.015386522), (3, 0.015385955), (4, 0.9384545)]","[('funtenna', 'CARDINAL')]"
6245,hijacking,"brisbane, australia",#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/s4PNIhJQX7 #prebreak #best,0,hot funtenna hijacking computers send data sound waves black hat prebreak best,-27.4689682,153.0234991,NEGATIVE,0.9197959303855896,"[(0, 0.0153864985), (1, 0.015386524), (2, 0.015386524), (3, 0.015385956), (4, 0.9384545)]","[('funtenna', 'CARDINAL')]"
6328,hostage,Australia ,New ISIS Video: ISIS Threatens to Behead Croatian Hostage Within 48 Hours - TLVFaces - TLVFaces#auspol http://t.co/a6PPEgeLOX,1,new isis video isis threatens behead croatian hostage within hours tlvfaces tlvfacesauspol,-24.7761086,134.755,NEGATIVE,0.9927339553833008,"[(0, 0.01538833), (1, 0.01538843), (2, 0.0153883835), (3, 0.01545895), (4, 0.9383759)]","[('croatian', 'NORP'), ('hours', 'TIME')]"
6607,inundated,Australia,Kids are inundated with images and information online and in media and have no way to deconstruct. - Kerri Sackville #TMS7,0,kids inundated images information online media way deconstruct kerri sackville tms,-24.7761086,134.755,NEGATIVE,0.9983141422271729,"[(0, 0.01667002), (1, 0.9332958), (2, 0.016670067), (3, 0.0166949), (4, 0.016669234)]",[]
6625,inundated,"UK, Republic of Ireland and Australia",Inundated with employee holiday request paperwork? Our cloud based HR software @hronlinetweets will help simplify your staffing logistics.,0,inundated employee holiday request paperwork cloud based hr software help simplify staffing logistics,,,NEGATIVE,0.9982477426528931,"[(0, 0.014290099), (1, 0.014336496), (2, 0.0142901605), (3, 0.94279414), (4, 0.014289071)]",[]
6649,landslide,"Melbourne, Australia",@kemal_atlay caught in a landslide,1,caught landslide,-37.8142454,144.9631732,NEGATIVE,0.7634475827217102,"[(0, 0.06667734), (1, 0.73329616), (2, 0.066677496), (3, 0.06667422), (4, 0.06667479)]",[]
6849,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 It was... Nagaski another act of mass murder sanctioned and forgiven cause the Allies won... Not by me.,1,nagaski another act mass murder sanctioned forgiven cause allies,,,NEGATIVE,0.9932742118835449,"[(0, 0.020005409), (1, 0.020005485), (2, 0.020083943), (3, 0.9197761), (4, 0.020129073)]",[]
6855,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 IIt may logically have been the right call... maybe... But it's an act of mass murder and I can't sanction it.,1,iit may logically right call maybe act mass murder cant sanction,,,NEGATIVE,0.9797189235687256,"[(0, 0.016671363), (1, 0.016727204), (2, 0.01678505), (3, 0.016893), (4, 0.9329234)]",[]
6867,mass%20murder,"Melbourne, Australia",Hiroshima - one of history's worst examples of mass murder  http://t.co/TmogTi6FB4 #hiroshima #war #atombomb #japan,1,hiroshima one historys worst examples mass murder hiroshima war atombomb japan,-37.8142454,144.9631732,NEGATIVE,0.9995899796485901,"[(0, 0.016670592), (1, 0.016703952), (2, 0.016723517), (3, 0.93310416), (4, 0.016797766)]","[('hiroshima', 'GPE'), ('one', 'CARDINAL'), ('hiroshima', 'GPE'), ('japan', 'GPE')]"
6876,mass%20murder," Queensland, Australia",Urgent! Save the Salt River #WildHorses! Mass murder by the very ppl supposed to protect them?  --&gt; http://t.co/14wH0pJJ2C @CNN @CBC,1,urgent save salt river wildhorses mass murder ppl supposed protect gt,-22.1646782,144.5844903,NEGATIVE,0.9779045581817627,"[(0, 0.016670022), (1, 0.016670069), (2, 0.9331094), (3, 0.016794605), (4, 0.01675592)]",[]
8031,refugees,Melbourne Australia,Captain Abbott must go down with LNP boat #refugees #christianvalues https://t.co/Kp5dpOaF58,0,captain abbott must go lnp boat refugees christianvalues,-37.8142454,144.9631732,NEGATIVE,0.9812832474708557,"[(0, 0.91106397), (1, 0.022226539), (2, 0.022258822), (3, 0.022225253), (4, 0.022225479)]","[('abbott', 'PERSON')]"
8039,refugees,Australia,Newlyweds feed thousands of Syrian refugees instead of hosting a banquet wedding dinner http://t.co/EGcv7ybjae #Age #news,0,newlyweds feed thousands syrian refugees instead hosting banquet wedding dinner age news,-24.7761086,134.755,NEGATIVE,0.9971764087677002,"[(0, 0.93837786), (1, 0.015422005), (2, 0.015402327), (3, 0.015386745), (4, 0.015411071)]","[('thousands', 'CARDINAL'), ('syrian', 'NORP')]"
8057,refugees,QLD Australia,The 46 returned refugees - what were they fleeing from &amp; how will the Vietnamese Govt treat them now they are returned? #Dutton #presser,1,returned refugees fleeing amp vietnamese govt treat returned dutton presser,-22.1646782,144.5844903,NEGATIVE,0.9858062863349915,"[(0, 0.018296368), (1, 0.018185114), (2, 0.9269544), (3, 0.018300395), (4, 0.018263744)]","[('vietnamese', 'NORP'), ('dutton', 'ORG')]"
8250,rioting,Australia,Twitter is doing a count down to the rioting and financial collapse of Brazil #Rio2016 http://t.co/9mtrq5Jf4d,1,twitter count rioting financial collapse brazil rio,-24.7761086,134.755,NEGATIVE,0.99831223487854,"[(0, 0.89998186), (1, 0.025005255), (2, 0.025005257), (3, 0.025003685), (4, 0.02500396)]","[('brazil', 'GPE')]"
8577,screams,"Melbourne, Australia.",@OllyMursAus I do feel sorry for him! He is not a piece of meat! He is a nice guy... People don't need to rush him and screams in his face!,1,feel sorry piece meat nice guy people dont need rush screams face,-37.8142454,144.9631732,NEGATIVE,0.9970089793205261,"[(0, 0.015389081), (1, 0.015389152), (2, 0.015389153), (3, 0.93844455), (4, 0.015388023)]",[]
8837,sirens,Australia,MarketforceÛªs ÛÏCat SharkÛ wins Sirens round two http://t.co/6F9aFQL6WP #radio #news,0,marketforces cat shark wins sirens round two radio news,-24.7761086,134.755,POSITIVE,0.9922199845314026,"[(0, 0.020086613), (1, 0.020088116), (2, 0.02000538), (3, 0.020003779), (4, 0.91981614)]","[('two', 'CARDINAL')]"
8908,snowstorm,Australia,@Habbo bring back games from the past. Snowstorm. Tic tac toe. Battleships. Fast food. Matchwood.,1,bring back games past snowstorm tic tac toe battleships fast food matchwood,-24.7761086,134.755,POSITIVE,0.9851046204566956,"[(0, 0.015387558), (1, 0.015387599), (2, 0.93842745), (3, 0.015386713), (4, 0.015410689)]",[]
9194,suicide%20bombing,Australia,@daisycuttertz @GROGParty @Tony_Burke He's been having lessons in suicide bombing from his imam!,1,hes lessons suicide bombing imam,-24.7761086,134.755,NEGATIVE,0.884723424911499,"[(0, 0.033609383), (1, 0.8663754), (2, 0.03333953), (3, 0.033337675), (4, 0.033338)]",[]
9226,suicide%20bombing,Australia,Erdogan's Bloody Gambit: on July 20 a suicide bombing in Turkey took the lives of 31 socialists in SuruÌ¤ http://t.co/z6xAUIDRXu @Shareaholic,1,erdogans bloody gambit july suicide bombing turkey took lives socialists suru,-24.7761086,134.755,NEGATIVE,0.990204930305481,"[(0, 0.9331262), (1, 0.01680777), (2, 0.01667012), (3, 0.016669096), (4, 0.016726812)]","[('erdogans', 'NORP'), ('july', 'DATE'), ('socialists', 'NORP')]"
9393,survivors,AUSTRALIA-SOUTHAFRICA-CAMBODIA,The Cafe Run by Acid Attack Survivors in #India http://t.co/qmiF0bLwOa http://t.co/l6PIf3LpEn,1,cafe run acid attack survivors india,,,NEGATIVE,0.9880372285842896,"[(0, 0.028579554), (1, 0.028579673), (2, 0.028579667), (3, 0.8856835), (4, 0.028577635)]","[('india', 'GPE')]"
9910,trouble,"Gold Coast, Australia",19 Things You'll Understand If You Have Trouble Talking to People http://t.co/sHaZNLMsFE,0,things youll understand trouble talking people,-28.0023731,153.4145987,NEGATIVE,0.9898720383644104,"[(0, 0.02857932), (1, 0.028579423), (2, 0.02857943), (3, 0.8856844), (4, 0.028577454)]",[]
10157,upheaval,"Perth, Western Australia",@abcnews UK scandal of 2009 caused major upheaval to Parliamentary expenses with subsequent sackings and prison. What are we waiting for?,0,uk scandal caused major upheaval parliamentary expenses subsequent sackings prison waiting,-31.9558933,115.8605855,NEGATIVE,0.9960557222366333,"[(0, 0.93332136), (1, 0.016670138), (2, 0.016670177), (3, 0.016669102), (4, 0.016669283)]",[]
10208,volcano,"Perth, Australia",Jetstar and Virgin forced to cancel Bali flights again because of ash from Mount Raung volcano http://t.co/jTJoFLtMS4,1,jetstar virgin forced cancel bali flights ash mount raung volcano,-31.9558933,115.8605855,NEGATIVE,0.9982365369796753,"[(0, 0.9272597), (1, 0.018185597), (2, 0.018185604), (3, 0.018184472), (4, 0.01818467)]","[('jetstar virgin', 'PERSON')]"
10496,wildfire,Australia,NowPlaying GT &amp; Wildfire feat. Freaks In Love Feels Like It Should (Original Mix) Massive Dance Radio ListenLive: http://t.co/ANoDGXZR3E,0,nowplaying gt amp wildfire feat freaks love feels like original mix massive dance radio listenlive,-24.7761086,134.755,POSITIVE,0.9956763386726379,"[(0, 0.012503243), (1, 0.01253354), (2, 0.012547018), (3, 0.012533623), (4, 0.94988257)]",[]
