id,keyword,location,text,target,Cleaned_Tweet,Latitude,Longitude
2289,cliff%20fall,Sydney Australia,News Update Huge cliff landslide on road in China - Watch the moment a cliff collapses as huge chunks of rock fall... http://t.co/gaBd0cjmAG,1,news update huge cliff landslide road china watch moment cliff collapses huge chunks rock fall,,
2399,collapsed,"Perth, Western Australia",@xDescry I was wrong to call it trusty actually.. considering it spontaneously collapsed on me that's not very trusty.,1,wrong call trusty actually considering spontaneously collapsed thats trusty,,
2571,crash,"Melbourne, Australia","#INCIDENT
Crash in Pascoe Vale South outbound on Tullamarine Fwy (CityLink) near Moreland Rd. Vehicles off in emergency lane. No delays.",1,incidentcrash pascoe vale south outbound tullamarine fwy citylink near moreland rd vehicles emergency lane delays,-37.8142454,144.9631732
2579,crash,"  Melbourne, Australia",@DestinyTheGame @Bungie @PlayStation Getting kicked out by that crash is one of the worst experiences I've had playing video games.,0,getting kicked crash one worst experiences ive playing video games,-37.8142454,144.9631732
2767,curfew,"Adelaide, Australia",INFO S. WND: 030/6. CLD: SCT014 BKN032. EXP INST APCH. RWY 05. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. TMP: 10.,0,info wnd cld sct bkn exp inst apch rwy curfew oper z taxiways foxtrot amp foxtrot navbl tmp,-34.9281805,138.5999312
2787,curfew,"Adelaide, Australia",INFO R. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. WND: 060/5. EXP INST APCH. RWY 05. DAMP. TMP: 10. QNH: 1028.,0,info r curfew oper z taxiways foxtrot amp foxtrot navbl wnd exp inst apch rwy damp tmp qnh,-34.9281805,138.5999312
2792,curfew,"Adelaide, Australia",INFO U. CLD: SCT012 BKN025. EXP INST APCH. RWY 05. CURFEW IN OPER UNTIL 2030 Z. TAXIWAYS FOXTROT 5 &amp; FOXTROT 6 NAVBL. TMP: 10. WND: 030/6.,0,info u cld sct bkn exp inst apch rwy curfew oper z taxiways foxtrot amp foxtrot navbl tmp wnd,-34.9281805,138.5999312
2896,damage,Australia,Thank you @RicharkKirkArch @AusInstArchitect for words of warning re #QueensWharf #Brisbane http://t.co/jMkYWhv7mP via @FinancialReview,0,thank words warning queenswharf brisbane via,-24.7761086,134.755
3165,deluge,Australia,WA smiles after July deluge - The West Australian https://t.co/4Yi4nuovbV via @Yahoo7,0,wa smiles july deluge west australian via,-24.7761086,134.755
3845,detonate,"Sydney, Australia",New music from @ApolloBrown featuring M.O.P.? 'Detonate' taken off his album 'Grandeur' coming soon - http://t.co/m1xYkEcRzr,0,new music featuring mop detonate taken album grandeur coming soon,-33.8698439,151.2082848
4368,earthquake,"Melbourne, Australia",Nepal earthquake 3 months on: Women fear abuse https://t.co/iCTtZ0Divr via @@loupascale,1,nepal earthquake months women fear abuse via,-37.8142454,144.9631732
4534,emergency,"Melbourne, Australia",From @LeanDOTorg: Lean Thinking for Quicker Police Emergency Response Time http://t.co/suZBkyW5TT,0,lean thinking quicker police emergency response time,-37.8142454,144.9631732
4740,evacuate,"Gold Coast, Qld, Australia",myGC: Broken powerlines evacuate Gold Coast tram suspend services http://t.co/6e7hHfeRz4,1,mygc broken powerlines evacuate gold coast tram suspend services,-28.0023731,153.4145987
4785,evacuated,"Queensland, Australia",Passengers evacuated &amp; lanes blocked off as power lines come down over a Gold Coast tram @9NewsGoldCoast http://t.co/zZweEezJuG,1,passengers evacuated amp lanes blocked power lines come gold coast tram,-22.1646782,144.5844903
4810,evacuated,"Gold Coast, Australia",Tram travellers evacuated after powerlines come down in Surfers http://t.co/Qsheu3yF0W,1,tram travellers evacuated powerlines come surfers,-28.0023731,153.4145987
4826,evacuation,Sydney Australia,Our mission to see the end of this movie last night @markoturner @annaciclismo after getting fire alarm evacuation http://t.co/5kFOVovjso,1,mission see end movie last night getting fire alarm evacuation,-33.8698439,151.2082848
4845,evacuation,"sydney, australia",my school just put the evacuation alarms on accidently with 2 different trial exams happening are you kidding me,0,school put evacuation alarms accidently different trial exams happening kidding,,
4877,explode,Australia,It's cold and my head wants to explode.. The joys of working from home - I'm going back to bed / peace out ????,0,cold head wants explode joys working home im going back bed peace,-24.7761086,134.755
4924,exploded,Australia,Junko was 13 years old when the atomic bomb exploded over #Hiroshima on August 6 1945. http://t.co/lSpnyCVoLO http://t.co/Nh5pkFBfqm,1,junko years old atomic bomb exploded hiroshima august,-24.7761086,134.755
5131,fatal,"New South Wales, Australia",Man charged over fatal crash near Dubbo refused bail http://t.co/HDBMfOVUtZ via @dailyliberal,1,man charged fatal crash near dubbo refused bail via,-31.8759835,147.2869493
5353,fire,"Sydney, Australia",I just checked in! ÛÒ at On Fire on @ZomatoAUS #LoveFood http://t.co/9l5kqykrbG,1,checked fire lovefood,-33.8698439,151.2082848
5567,flood,"Warrandyte, Australia",A [small] flood with bigåÊconsequences https://t.co/CVPdVHxd1R http://t.co/FDMXP4FcMo,1,small flood bigconsequences,-37.7585968,145.22762818038902
5664,floods,Australia,In #India 119000 people have taken shelter in the 966 relief camps the government has set up after the #floods:   http://t.co/eU8jypIzsd,1,india people taken shelter relief camps government set floods,-24.7761086,134.755
5670,floods,"Sherwood, Brisbane, Australia",@madonnamking RSPCA site multiple 7 story high rise buildings next to low density character residential in an area that floods,0,rspca site multiple story high rise buildings next low density character residential area floods,-27.530861,152.9826097
5889,harm," Queensland, Australia",Vanderbilt: First Do No Harm http://t.co/cCdx7CGlQW,0,vanderbilt first harm,-22.1646782,144.5844903
5937,hazard,Australia,#Lifestyle Û÷It makes me sickÛª: Baby clothes deemed a Û÷hazardÛª http://t.co/0XrfVidxA2 http://t.co/oIHwgEZDCk,0,lifestyle makes sick baby clothes deemed hazard,-24.7761086,134.755
6243,hijacking,"perth, australia ",#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/gUJNPLJVvt #prebreak #best,0,hot funtenna hijacking computers send data sound waves black hat prebreak best,-31.9558933,115.8605855
6245,hijacking,"brisbane, australia",#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/s4PNIhJQX7 #prebreak #best,0,hot funtenna hijacking computers send data sound waves black hat prebreak best,-27.4689682,153.0234991
6328,hostage,Australia ,New ISIS Video: ISIS Threatens to Behead Croatian Hostage Within 48 Hours - TLVFaces - TLVFaces#auspol http://t.co/a6PPEgeLOX,1,new isis video isis threatens behead croatian hostage within hours tlvfaces tlvfacesauspol,-24.7761086,134.755
6607,inundated,Australia,Kids are inundated with images and information online and in media and have no way to deconstruct. - Kerri Sackville #TMS7,0,kids inundated images information online media way deconstruct kerri sackville tms,-24.7761086,134.755
6625,inundated,"UK, Republic of Ireland and Australia",Inundated with employee holiday request paperwork? Our cloud based HR software @hronlinetweets will help simplify your staffing logistics.,0,inundated employee holiday request paperwork cloud based hr software help simplify staffing logistics,,
6649,landslide,"Melbourne, Australia",@kemal_atlay caught in a landslide,1,caught landslide,-37.8142454,144.9631732
6849,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 It was... Nagaski another act of mass murder sanctioned and forgiven cause the Allies won... Not by me.,1,nagaski another act mass murder sanctioned forgiven cause allies,,
6855,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 IIt may logically have been the right call... maybe... But it's an act of mass murder and I can't sanction it.,1,iit may logically right call maybe act mass murder cant sanction,,
6867,mass%20murder,"Melbourne, Australia",Hiroshima - one of history's worst examples of mass murder  http://t.co/TmogTi6FB4 #hiroshima #war #atombomb #japan,1,hiroshima one historys worst examples mass murder hiroshima war atombomb japan,-37.8142454,144.9631732
6876,mass%20murder," Queensland, Australia",Urgent! Save the Salt River #WildHorses! Mass murder by the very ppl supposed to protect them?  --&gt; http://t.co/14wH0pJJ2C @CNN @CBC,1,urgent save salt river wildhorses mass murder ppl supposed protect gt,-22.1646782,144.5844903
8031,refugees,Melbourne Australia,Captain Abbott must go down with LNP boat #refugees #christianvalues https://t.co/Kp5dpOaF58,0,captain abbott must go lnp boat refugees christianvalues,-37.8142454,144.9631732
8039,refugees,Australia,Newlyweds feed thousands of Syrian refugees instead of hosting a banquet wedding dinner http://t.co/EGcv7ybjae #Age #news,0,newlyweds feed thousands syrian refugees instead hosting banquet wedding dinner age news,-24.7761086,134.755
8057,refugees,QLD Australia,The 46 returned refugees - what were they fleeing from &amp; how will the Vietnamese Govt treat them now they are returned? #Dutton #presser,1,returned refugees fleeing amp vietnamese govt treat returned dutton presser,-22.1646782,144.5844903
8250,rioting,Australia,Twitter is doing a count down to the rioting and financial collapse of Brazil #Rio2016 http://t.co/9mtrq5Jf4d,1,twitter count rioting financial collapse brazil rio,-24.7761086,134.755
8577,screams,"Melbourne, Australia.",@OllyMursAus I do feel sorry for him! He is not a piece of meat! He is a nice guy... People don't need to rush him and screams in his face!,1,feel sorry piece meat nice guy people dont need rush screams face,-37.8142454,144.9631732
8837,sirens,Australia,MarketforceÛªs ÛÏCat SharkÛ wins Sirens round two http://t.co/6F9aFQL6WP #radio #news,0,marketforces cat shark wins sirens round two radio news,-24.7761086,134.755
8908,snowstorm,Australia,@Habbo bring back games from the past. Snowstorm. Tic tac toe. Battleships. Fast food. Matchwood.,1,bring back games past snowstorm tic tac toe battleships fast food matchwood,-24.7761086,134.755
9194,suicide%20bombing,Australia,@daisycuttertz @GROGParty @Tony_Burke He's been having lessons in suicide bombing from his imam!,1,hes lessons suicide bombing imam,-24.7761086,134.755
9226,suicide%20bombing,Australia,Erdogan's Bloody Gambit: on July 20 a suicide bombing in Turkey took the lives of 31 socialists in SuruÌ¤ http://t.co/z6xAUIDRXu @Shareaholic,1,erdogans bloody gambit july suicide bombing turkey took lives socialists suru,-24.7761086,134.755
9393,survivors,AUSTRALIA-SOUTHAFRICA-CAMBODIA,The Cafe Run by Acid Attack Survivors in #India http://t.co/qmiF0bLwOa http://t.co/l6PIf3LpEn,1,cafe run acid attack survivors india,,
9910,trouble,"Gold Coast, Australia",19 Things You'll Understand If You Have Trouble Talking to People http://t.co/sHaZNLMsFE,0,things youll understand trouble talking people,-28.0023731,153.4145987
10157,upheaval,"Perth, Western Australia",@abcnews UK scandal of 2009 caused major upheaval to Parliamentary expenses with subsequent sackings and prison. What are we waiting for?,0,uk scandal caused major upheaval parliamentary expenses subsequent sackings prison waiting,-31.9558933,115.8605855
10208,volcano,"Perth, Australia",Jetstar and Virgin forced to cancel Bali flights again because of ash from Mount Raung volcano http://t.co/jTJoFLtMS4,1,jetstar virgin forced cancel bali flights ash mount raung volcano,-31.9558933,115.8605855
10496,wildfire,Australia,NowPlaying GT &amp; Wildfire feat. Freaks In Love Feels Like It Should (Original Mix) Massive Dance Radio ListenLive: http://t.co/ANoDGXZR3E,0,nowplaying gt amp wildfire feat freaks love feels like original mix massive dance radio listenlive,-24.7761086,134.755
